Rank,Change,Name,League Number,League,Steam Name,Xbox Name,PSN Name,Cashouts
1,0,Zee#0649,20,Diamond 1,Kunozee,,EarningVenus89,0
2,1,swako#6659,20,Diamond 1,swako,,SWAKOFINALS,0
3,-1,okra#1574,20,Diamond 1,lamp,,,0
4,2,BaliseTV#6454,20,Diamond 1,BaliseTV,,,0
5,5,neteX#1294,20,Diamond 1,net,,bmwnetex,0
6,5,Grad#9653,20,Diamond 1,GraduatingTTV/Grad on Kick,,,0
7,2,DustyCharge#6537,20,Diamond 1,抖音主播除了嘴硬只会组排（把把Mvp）,,,0
8,5,Casual#8878,20,Diamond 1,KR Joe,,CasualOppTF,0
9,-5,Gigz#6349,20,Diamond 1,Gigz,,T1-Gigz,0
10,-5,BattleGold#0481,20,Diamond 1,,,otownrez,0
11,-4,ProntoMoney#1552,20,Diamond 1,carnifex,,marcobadolato,0
12,9,ChargingWheel#9737,20,Diamond 1,L T,,,0
13,13,rxzdiff#3304,20,Diamond 1,rxzdiff,,Riskymdy,0
14,0,Kragie#0398,20,Diamond 1,Kragie,,,0
15,-3,Axbo#1067,20,Diamond 1,,AxboXD,,0
16,-8,commit#7252,20,Diamond 1,lycommit ttv,,diziIy_,0
17,-2,Choe#1587,20,Diamond 1,,Choe,,0
18,-2,Sit#0876,20,Diamond 1,,,istSit,0
19,-2,lysticᵗᵗᵛ#5612,20,Diamond 1,lystic ttv,,,0
20,4,Bidonqt#1645,20,Diamond 1,Bidon,,jerky_mansion36,0
21,1,CoolCheese#3515,20,Diamond 1,coolcheesevevo,,CoolCheese101,0
22,13,Known#3604,20,Diamond 1,,Knonwn,,0
23,-4,RaddTTV#0658,20,Diamond 1,Radd,,,0
24,-1,ChippedScore#5668,20,Diamond 1,BR3ZR,,,0
25,2,sixsav#0308,20,Diamond 1,sixsav,qnxrc,UntamedFemboy,0
26,-1,Detailed#4664,20,Diamond 1,DetailedTV (TTV),,Kyuushin2355,0
27,20,Coma#4356,20,Diamond 1,,iComaa,ComaT1-,0
28,0,Etelco#4130,20,Diamond 1,Etelco,,,0
29,0,DYQCLB#0380,20,Diamond 1,노병 병병,,,0
30,1,Dyrani#0462,20,Diamond 1,Dyrrani ᵗᵗᵛ,,,0
31,38,rry54#4796,20,Diamond 1,54,rry54,f1fty4,0
32,10,mvches#7173,20,Diamond 1,@mvches¿? solo q mosquito,,,0
