Rank,Change,Name,League Number,League,Steam Name,Xbox Name,PSN Name,Cashouts
1,0,Gigz#6349,20,Diamond 1,Gigz,,T1-Gigz,0
2,1,Zee#0649,20,Diamond 1,Kunozee,,EarningVenus89,0
3,1,swako#6659,20,Diamond 1,swako,,SWAKOFINALS,0
4,-2,okra#1574,20,Diamond 1,lamp,,,0
5,0,BattleGold#0481,20,Diamond 1,,,otownrez,0
6,2,BaliseTV#6454,20,Diamond 1,BaliseTV,,,0
7,5,neteX#1294,20,Diamond 1,net,,bmwnetex,0
8,6,Grad#9653,20,Diamond 1,GraduatingTTV/Grad on Kick,,,0
9,-3,commit#7252,20,Diamond 1,lycommit ttv,,diziIy_,0
10,-3,ProntoMoney#1552,20,Diamond 1,carnifex,,marcobadolato,0
11,-2,Casual#8878,20,Diamond 1,oppenheimer on twitch,,CasualOppTF,0
12,4,Axbo#1067,20,Diamond 1,,AxboXD,,0
13,-3,Sit#0876,20,Diamond 1,,,istSit,0
14,-3,Choe#1587,20,Diamond 1,,Choe,,0
15,-2,lysticᵗᵗᵛ#5612,20,Diamond 1,lystic ttv,,,0
16,-1,Kragie#0398,20,Diamond 1,Kragie,,,0
17,1,ChippedScore#5668,20,Diamond 1,BR3ZR,,,0
18,3,NevermoreTF#1869,20,Diamond 1,NevermoreTF ᵗᵗᵛ,,,0
19,7,RaddTTV#0658,20,Diamond 1,Radd,,,0
20,18,Bidonqt#1645,20,Diamond 1,Bidon,,jerky_mansion36,0
21,-2,Detailed#4664,20,Diamond 1,DetailedTV (TTV),,Kyuushin2355,0
22,19,ChargingWheel#9737,20,Diamond 1,西北第一深情,,,0
23,-6,spring#0743,20,Diamond 1,springhour,,,0
24,-1,DYQCLB#0380,20,Diamond 1,노병 병병,,,0
25,-5,Etelco#4130,20,Diamond 1,Etelco,,,0
26,8,fool#3505,20,Diamond 1,护航上钻+q1185508837,,,0
27,-3,PlayfulWeb#7312,20,Diamond 1,총신신신,,,0
28,0,SmxthyJ#6576,20,Diamond 1,,Smxthy J,,0
29,-4,Dyrani#0462,20,Diamond 1,Dyrrani ᵗᵗᵛ,,,0
30,6,SmashPro#3076,20,Diamond 1,,Gurdious,,0
31,-2,SwiftShotgun#0468,20,Diamond 1,抖音搜CN老兵,,,0
32,1,Andrew#1913,20,Diamond 1,Andr00F,,,0
33,-3,Maz#6519,20,Diamond 1,maz,,,0
34,26,EM6L#0840,20,Diamond 1,ᵗᵗᵛ EM6L,,,0
35,-4,FlawlessGeomorph#3704,20,Diamond 1,天才少年,,,0
36,62,Fol1n#9485,20,Diamond 1,,,SKR_MrFolino,0
